eall,i,r,t,Value
CO2,biopower,p1,2010,841.765219
CO2,biopower,p3,2010,3427.716463
CO2,biopower,p3,2015,942.97896
CO2,biopower,p3,2020,942.97896
CO2,biopower,p3,2023,942.97896
CO2,biopower,p3,2026,942.97896
CO2,biopower,p5,2010,192.412962
CO2,biopower,p5,2015,148.368996
CO2,biopower,p5,2020,148.368996
CO2,biopower,p5,2023,148.368996
CO2,biopower,p5,2026,148.368996
CO2,biopower,p5,2029,148.368996
CO2,biopower,p5,2032,17.455176
CO2,biopower,p5,2035,17.455176
CO2,biopower,p5,2038,17.455176
CO2,biopower,p5,2041,17.455176
CO2,biopower,p5,2044,17.455176
CO2,biopower,p5,2047,17.455176
CO2,biopower,p5,2050,17.455176
CO2,biopower,p6,2010,1053.249637
CO2,biopower,p6,2015,1052.906098
CO2,biopower,p6,2020,1052.944331
CO2,biopower,p6,2023,1053.147868
CO2,biopower,p6,2026,1053.0461
CO2,biopower,p6,2029,1059.465688
CO2,biopower,p6,2032,333.019109
CO2,biopower,p6,2035,333.019109
CO2,biopower,p6,2038,333.019109
CO2,biopower,p6,2041,333.019109
CO2,biopower,p6,2044,333.019109
CO2,biopower,p6,2047,333.019109
CO2,biopower,p6,2050,333.019109
CO2,biopower,p8,2010,5621.866025
CO2,biopower,p8,2015,7861.940948
CO2,biopower,p8,2020,7861.940948
CO2,biopower,p8,2023,3379.615464
CO2,biopower,p8,2026,2390.76927
CO2,biopower,p8,2029,1117.475738
CO2,biopower,p8,2032,560.820456
CO2,biopower,p9,2010,17641.255788
CO2,biopower,p9,2015,111683.105719
CO2,biopower,p9,2020,75341.940586
CO2,biopower,p9,2023,20156.385602
CO2,biopower,p9,2026,21214.622578
CO2,biopower,p9,2029,17541.821756
CO2,biopower,p9,2032,7248.875516
CO2,biopower,p9,2035,5931.764353
CO2,biopower,p9,2038,4787.950433
CO2,biopower,p9,2041,5406.711064
CO2,biopower,p9,2044,5212.981723
CO2,biopower,p9,2047,5468.908361
CO2,biopower,p9,2050,5104.960912
CO2,biopower,p10,2010,14881.262361
CO2,biopower,p10,2015,40564.410687
CO2,biopower,p10,2020,45640.103729
CO2,biopower,p10,2023,17981.531268
CO2,biopower,p10,2026,17912.165129
CO2,biopower,p10,2029,16109.931537
CO2,biopower,p10,2032,7594.988707
CO2,biopower,p10,2035,8776.871159
CO2,biopower,p10,2038,4352.498262
CO2,biopower,p10,2041,5676.869827
CO2,biopower,p10,2044,4319.755778
CO2,biopower,p10,2047,5479.363793
CO2,biopower,p10,2050,4683.132546
CO2,biopower,p14,2010,157.05769
CO2,biopower,p14,2015,157.05769
CO2,biopower,p14,2020,157.05769
CO2,biopower,p14,2023,157.05769
CO2,biopower,p14,2026,157.05769
CO2,biopower,p15,2010,164.078654
